geoid,state,county,tract,total_pop,med_income,housing_total,renter_units,pct_renter
55025011403,55,025,011403,3061,114494,1376,408,29.651162790697676
55025011404,55,025,011404,8047,115450,3006,996,33.13373253493014
55025011405,55,025,011405,5249,85337,2741,1655,60.379423568040856
55025011406,55,025,011406,6464,106165,2167,937,43.239501615136135
55025011407,55,025,011407,1731,70045,1017,306,30.08849557522124
55025011504,55,025,011504,5994,105451,2418,1174,48.55252274607113
55025011505,55,025,011505,4227,71016,1791,906,50.58626465661642
55025011506,55,025,011506,6895,68924,3396,1966,57.89163722025913
55025011507,55,025,011507,5938,118583,2241,365,16.28737170905846
55025011508,55,025,011508,4239,107038,1748,339,19.393592677345538
55025011600,55,025,011600,7648,96351,3136,681,21.715561224489797
55025011700,55,025,011700,4079,136923,1468,141,9.60490463215259
55025011800,55,025,011800,6155,92798,2331,462,19.81981981981982
55025011900,55,025,011900,7084,97800,2672,519,19.42365269461078
55025012002,55,025,012002,4977,113401,2169,178,8.206546795758413
55025012003,55,025,012003,7086,142762,2896,921,31.802486187845304
55025012004,55,025,012004,3114,120583,1339,257,19.19342793129201
55025012100,55,025,012100,2597,108242,921,90,9.77198697068404
55025012201,55,025,012201,2412,85750,1144,212,18.53146853146853
55025012202,55,025,012202,6554,83224,2563,712,27.7799453765119
55025012300,55,025,012300,5032,85057,2133,800,37.50586029067042
55025012400,55,025,012400,4619,116641,1859,302,16.245293168370093
55025012501,55,025,012501,7029,83846,3014,993,32.94625082946251
55025012502,55,025,012502,6704,120818,2288,347,15.166083916083917
55025012600,55,025,012600,4380,93250,1771,242,13.664596273291925
55025012700,55,025,012700,4304,116359,1806,358,19.82281284606866
55025012800,55,025,012800,8316,108595,3107,870,28.00128741551336
55025012900,55,025,012900,3802,121750,1543,169,10.952689565780945
55025013000,55,025,013000,4883,108169,1861,509,27.35088662009672
55025013100,55,025,013100,4785,86853,1991,303,15.218483174284279
55025013201,55,025,013201,4021,116964,1455,278,19.106529209621993
55025013202,55,025,013202,8087,114691,3198,872,27.267041901188243
55025013301,55,025,013301,5892,100156,2099,576,27.441638875655073
55025013302,55,025,013302,5879,103836,2416,289,11.961920529801324
55025013700,55,025,013700,8510,107580,3739,1529,40.89328697512704
55025991702,55,025,991702,0,-666666666,0,0,
55025991703,55,025,991703,0,-666666666,0,0,
